No. ,Info  ,Memo  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,C/N  ratio,Moisture  [%],Date       Time  
1,"Nnp,Cu",,90,mt,100,blank,0,227,0,0.067,1,1,0,0,7/21/22 19:24
2,Nu,,90,mt,100,blank,83,2562,0.026,0.821,1,1,31.6546,0,7/21/22 19:32
3,"Cnp,Nu",,90,mt,100,blank [O2],100,0,0.031,0,1,1,0,0,7/21/22 19:40
4,,,1,runin,123.1,aspartic acid 1,34731,129702,10.525,35.956,1,1,3.4163,0,7/21/22 19:51
5,,,2,runin,114.5,aspartic acid 1,32233,120874,10.495,35.994,1,1,3.4296,0,7/21/22 20:02
6,,,3,aspartic acid,125.2,aspartic acid 1,35152,131934,10.52,36.06,1.0043,1.0025,3.4278,0,7/21/22 20:13
7,,,4,aspartic acid,105.3,aspartic acid 1,29591,110988,10.52,36.06,1.005,1.0045,3.4278,0,7/21/22 20:25
8,,,5,COMPASS_May22_131,513.8,soil,18456,522511,1.337,35.503,1.0046,1.0035,26.5621,0,7/21/22 20:37
9,,,6,COMPASS_May22_132,490.2,soil,13627,437272,1.029,31.068,1.0046,1.0035,30.1966,0,7/21/22 20:50
10,,,7,COMPASS_May22_133,511.7,soil,17383,515088,1.263,35.136,1.0046,1.0035,27.8217,0,7/21/22 21:02
11,,,8,COMPASS_May22_142,488.7,soil,15422,384120,1.171,27.324,1.0046,1.0035,23.338,0,7/21/22 21:14
12,,,9,COMPASS_May22_143,496.2,soil,17922,383818,1.343,26.889,1.0046,1.0035,20.016,0,7/21/22 21:27
13,,,10,COMPASS_May22_129,519.5,soil,11043,426482,0.783,28.582,1.0046,1.0035,36.5054,0,7/21/22 21:40
14,,,11,COMPASS_May22_130,513.9,soil,14353,486363,1.035,33.01,1.0046,1.0035,31.9013,0,7/21/22 21:54
15,,,12,COMPASS_May22_134,510.8,soil,15408,534512,1.119,36.542,1.0046,1.0035,32.6544,0,7/21/22 22:06
16,,,13,COMPASS_May22_135,510.9,soil,18309,481472,1.333,32.866,1.0046,1.0035,24.6487,0,7/21/22 22:20
17,,,14,COMPASS_May22_136,490.5,soil,14582,400634,1.102,28.411,1.0046,1.0035,25.7877,0,7/21/22 22:34
18,,,15,COMPASS_May22_139,504.8,soil,21432,476091,1.583,32.886,1.0046,1.0035,20.7727,0,7/21/22 22:47
