,Anion Concentration Summary Report,,,,,,,,,,,,
,,,,,,,,,,,,,
No. ,Name ,Dilution ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,
,,,ppm,ppm,ppm,ppm,ppm,ppm,n.a.,ppm,ppm,ppm,
,,,CD_1_Total,CD_1_Total,CD_1_Total,UV_VIS_1,CD_1_Total,CD_1_Total,UV_VIS_1,CD_1_Total,UV_VIS_1,CD_1_Total,
,,,Fluoride,Chloride,Nitrite,Nitrite UV,Sulfate,Bromide,Bromide UV,Nitrate,Nitrate UV,Phosphate,skip
1,DI Water,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
2,200 ppm Anion  Std,1,0.01,0.3,n.a.,0.1,0.29,0.31,n.a.,n.a.,0.28,0.68,
3,DI water,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
4,A-1600x,1,n.a.,0.11,n.a.,n.a.,0.12,0.13,n.a.,n.a.,0.08,0.38,
5,A-800x,1,n.a.,0.17,n.a.,n.a.,0.17,0.19,n.a.,n.a.,0.15,0.48,
6,A-400x,1,0.01,0.29,n.a.,0.08,0.29,0.3,n.a.,n.a.,0.28,0.68,
7,A-200x,1,0.06,0.53,0.19,0.36,0.53,0.54,n.a.,n.a.,0.54,1.11,
8,A-20x,1,1.07,4.99,5.57,5.39,4.99,4.97,n.a.,n.a.,5.09,9.78,
9,A-5x,1,4.17,19.76,21.68,20.47,19.72,19.68,n.a.,n.a.,19.67,39.04,
10,A-2x,1,9.92,50.1,49.28,49.78,50.11,50.13,n.a.,n.a.,50.12,100.4,
11,DOC_CMPS_KFP_0426,1,0.03,0.78,n.a.,n.a.,0.66,7.98,n.a.,n.a.,7.84,n.a.,
12,DOC_CMPS_KFP_0427,1,0,0.57,n.a.,n.a.,0.61,n.a.,n.a.,n.a.,0.1,n.a.,
13,DOC_CMPS_KFP_0428,1,0.03,0.75,n.a.,n.a.,0.9,6.11,n.a.,n.a.,5.95,n.a.,
14,DOC_CMPS_KFP_0429,1,0.05,0.92,n.a.,n.a.,0.56,0.28,n.a.,n.a.,0.27,n.a.,
15,DOC_CMPS_KFP_0430,1,0.11,0.68,n.a.,n.a.,1.01,n.a.,n.a.,n.a.,0.08,n.a.,
16,DOC_CMPS_KFP_0431,1,0.08,0.57,n.a.,n.a.,0.58,n.a.,n.a.,n.a.,0.07,n.a.,
17,DOC_CMPS_KFP_0432,1,0.01,0.92,n.a.,n.a.,0.84,0.14,n.a.,n.a.,0.09,n.a.,
18,DOC_CMPS_KFP_0433,1,0.03,1.08,n.a.,n.a.,1.29,n.a.,n.a.,n.a.,n.a.,n.a.,
19,DOC_CMPS_KFP_0434,1,0.2,30.5,n.a.,n.a.,5.78,n.a.,n.a.,n.a.,0.07,n.a.,
20,DOC_CMPS_KFP_0435,1,0.06,1.44,n.a.,n.a.,5.17,n.a.,n.a.,n.a.,0.06,n.a.,
21,A-20x,1,1.07,5.01,5.6,5.26,5.02,4.98,n.a.,n.a.,5.08,9.89,
22,MQ1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
23,DOC_CMPS_KFP_0436,1,0,1.82,n.a.,n.a.,5.47,n.a.,n.a.,n.a.,n.a.,n.a.,
24,DOC_CMPS_KFP_0437,1,n.a.,0.06,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
25,DOC_CMPS_KFP_0438,1,n.a.,0.04,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
26,DOC_CMPS_KFP_0439,1,n.a.,6.29,n.a.,n.a.,8.28,n.a.,n.a.,n.a.,n.a.,n.a.,
27,DOC_CMPS_KFP_0440,1,n.a.,4.79,n.a.,n.a.,9.56,n.a.,n.a.,n.a.,n.a.,n.a.,
28,DOC_CMPS_KFP_0441,1,n.a.,3.07,n.a.,n.a.,12.04,0.17,n.a.,n.a.,0.1,n.a.,
29,DOC_CMPS_KFP_0442,1,0.05,0.38,n.a.,n.a.,1.38,n.a.,n.a.,n.a.,n.a.,n.a.,
30,DOC_CMPS_KFP_0443,1,0.01,1.31,n.a.,n.a.,2.51,n.a.,n.a.,n.a.,n.a.,n.a.,
31,DOC_CMPS_KFP_0444,1,n.a.,1.81,n.a.,n.a.,4.58,n.a.,n.a.,n.a.,n.a.,n.a.,
32,DOC_CMPS_KFP_0445,1,n.a.,697.38,n.a.,n.a.,359.6,n.a.,n.a.,n.a.,0.08,n.a.,skip
